antibiotic,model,accuracy,precision,recall,f1,roc_auc,brier_score
Nitrofurantoin,Random Forest,0.669,0.3184,0.447,0.3719,0.6281,0.226
Nitrofurantoin,Gradient Boosting,0.7812,0.5139,0.0422,0.078,0.648,0.1621
Trimethoprim-Sulfamethoxazole,Random Forest,0.627,0.6685,0.6287,0.6479,0.6745,0.2273
Trimethoprim-Sulfamethoxazole,Gradient Boosting,0.6295,0.6469,0.7079,0.676,0.6796,0.2239
Ciprofloxacin,Random Forest,0.6368,0.7268,0.6556,0.6893,0.679,0.2247
Ciprofloxacin,Gradient Boosting,0.6538,0.6833,0.8142,0.743,0.6801,0.2149
Levofloxacin,Random Forest,0.6295,0.6964,0.6174,0.6545,0.678,0.2265
Levofloxacin,Gradient Boosting,0.6438,0.6623,0.7617,0.7085,0.683,0.2209
Amoxicillin-Clavulanate,Random Forest,0.6172,0.7001,0.6169,0.6559,0.6558,0.2315
Amoxicillin-Clavulanate,Gradient Boosting,0.6202,0.6452,0.7949,0.7123,0.6579,0.2241
Ceftriaxone,Random Forest,0.6438,0.6102,0.6245,0.6172,0.6906,0.2232
Ceftriaxone,Gradient Boosting,0.6518,0.6475,0.5332,0.5848,0.6951,0.2198
Fosfomycin,Random Forest,0.7425,0.1484,0.3203,0.2028,0.5963,0.2151
Fosfomycin,Gradient Boosting,0.897,0.0,0.0,0.0,0.6028,0.0906
Gentamicin,Random Forest,0.6188,0.4093,0.5255,0.4602,0.6346,0.2322
Gentamicin,Gradient Boosting,0.6995,0.5738,0.1099,0.1845,0.6351,0.2025
